
=========================== Device: cuda:2, NVIDIA GeForce RTX 3090 ===========================

=========================== Random Seed: 777 ===========================

=========================== Training ===========================
[2023/04/04 07:38:28] 	 epoch : 001/300 	 Epoch loss:1615.731894 	 Accuracy: 0.0222
[2023/04/04 07:39:05] 	 ##### Accuracy on validation set: 0.3127 #####
[2023/04/04 07:39:05] 	 ##### Best accuracy so far: 0.0000  =>  saving model... #####
[2023/04/04 07:42:52] 	 epoch : 002/300 	 Epoch loss:1573.648088 	 Accuracy: 0.0381
[2023/04/04 07:46:40] 	 epoch : 003/300 	 Epoch loss:1550.559094 	 Accuracy: 0.0564
[2023/04/04 07:50:28] 	 epoch : 004/300 	 Epoch loss:1532.491417 	 Accuracy: 0.0712
[2023/04/04 07:54:16] 	 epoch : 005/300 	 Epoch loss:1514.798553 	 Accuracy: 0.0832
[2023/04/04 07:58:04] 	 epoch : 006/300 	 Epoch loss:1496.681084 	 Accuracy: 0.0930
[2023/04/04 08:01:52] 	 epoch : 007/300 	 Epoch loss:1480.129421 	 Accuracy: 0.0980
[2023/04/04 08:05:39] 	 epoch : 008/300 	 Epoch loss:1464.386029 	 Accuracy: 0.1043
[2023/04/04 08:09:27] 	 epoch : 009/300 	 Epoch loss:1448.627470 	 Accuracy: 0.1096
[2023/04/04 08:13:13] 	 epoch : 010/300 	 Epoch loss:1434.035637 	 Accuracy: 0.1134
[2023/04/04 08:13:51] 	 ##### Accuracy on validation set: 0.3606 #####
[2023/04/04 08:13:51] 	 ##### Best accuracy so far: 0.3127  =>  saving model... #####
[2023/04/04 08:17:39] 	 epoch : 011/300 	 Epoch loss:1420.975264 	 Accuracy: 0.1174
[2023/04/04 08:21:26] 	 epoch : 012/300 	 Epoch loss:1409.388056 	 Accuracy: 0.1192
[2023/04/04 08:25:14] 	 epoch : 013/300 	 Epoch loss:1399.449862 	 Accuracy: 0.1232
[2023/04/04 08:29:02] 	 epoch : 014/300 	 Epoch loss:1389.517849 	 Accuracy: 0.1278
[2023/04/04 08:32:49] 	 epoch : 015/300 	 Epoch loss:1380.895218 	 Accuracy: 0.1316
[2023/04/04 08:36:37] 	 epoch : 016/300 	 Epoch loss:1372.681049 	 Accuracy: 0.1331
[2023/04/04 08:40:25] 	 epoch : 017/300 	 Epoch loss:1364.952737 	 Accuracy: 0.1367
[2023/04/04 08:44:13] 	 epoch : 018/300 	 Epoch loss:1358.342626 	 Accuracy: 0.1400
[2023/04/04 08:48:00] 	 epoch : 019/300 	 Epoch loss:1351.319934 	 Accuracy: 0.1426
[2023/04/04 08:51:45] 	 epoch : 020/300 	 Epoch loss:1345.011575 	 Accuracy: 0.1440
[2023/04/04 08:52:24] 	 ##### Accuracy on validation set: 0.3896 #####
[2023/04/04 08:52:24] 	 ##### Best accuracy so far: 0.3606  =>  saving model... #####
[2023/04/04 08:56:11] 	 epoch : 021/300 	 Epoch loss:1338.876958 	 Accuracy: 0.1471
[2023/04/04 08:59:58] 	 epoch : 022/300 	 Epoch loss:1333.813157 	 Accuracy: 0.1495
[2023/04/04 09:03:46] 	 epoch : 023/300 	 Epoch loss:1327.899266 	 Accuracy: 0.1501
[2023/04/04 09:07:33] 	 epoch : 024/300 	 Epoch loss:1322.439203 	 Accuracy: 0.1543
[2023/04/04 09:11:21] 	 epoch : 025/300 	 Epoch loss:1317.485282 	 Accuracy: 0.1559
[2023/04/04 09:15:08] 	 epoch : 026/300 	 Epoch loss:1312.684685 	 Accuracy: 0.1575
[2023/04/04 09:18:56] 	 epoch : 027/300 	 Epoch loss:1308.104815 	 Accuracy: 0.1622
[2023/04/04 09:22:44] 	 epoch : 028/300 	 Epoch loss:1303.222409 	 Accuracy: 0.1636
[2023/04/04 09:26:32] 	 epoch : 029/300 	 Epoch loss:1299.387680 	 Accuracy: 0.1653
[2023/04/04 09:30:16] 	 epoch : 030/300 	 Epoch loss:1293.969275 	 Accuracy: 0.1701
[2023/04/04 09:30:55] 	 ##### Accuracy on validation set: 0.4015 #####
[2023/04/04 09:30:55] 	 ##### Best accuracy so far: 0.3896  =>  saving model... #####
[2023/04/04 09:34:43] 	 epoch : 031/300 	 Epoch loss:1289.839967 	 Accuracy: 0.1721
[2023/04/04 09:38:31] 	 epoch : 032/300 	 Epoch loss:1285.326723 	 Accuracy: 0.1732
[2023/04/04 09:42:19] 	 epoch : 033/300 	 Epoch loss:1280.990464 	 Accuracy: 0.1766
[2023/04/04 09:46:07] 	 epoch : 034/300 	 Epoch loss:1275.986868 	 Accuracy: 0.1776
[2023/04/04 09:49:54] 	 epoch : 035/300 	 Epoch loss:1272.488732 	 Accuracy: 0.1785
[2023/04/04 09:53:42] 	 epoch : 036/300 	 Epoch loss:1267.511403 	 Accuracy: 0.1826
[2023/04/04 09:57:29] 	 epoch : 037/300 	 Epoch loss:1263.407464 	 Accuracy: 0.1834
[2023/04/04 10:01:16] 	 epoch : 038/300 	 Epoch loss:1259.416685 	 Accuracy: 0.1854
[2023/04/04 10:05:03] 	 epoch : 039/300 	 Epoch loss:1255.286571 	 Accuracy: 0.1880
[2023/04/04 10:08:46] 	 epoch : 040/300 	 Epoch loss:1250.530536 	 Accuracy: 0.1911
[2023/04/04 10:09:26] 	 ##### Accuracy on validation set: 0.4154 #####
[2023/04/04 10:09:26] 	 ##### Best accuracy so far: 0.4015  =>  saving model... #####
[2023/04/04 10:13:13] 	 epoch : 041/300 	 Epoch loss:1246.717253 	 Accuracy: 0.1920
[2023/04/04 10:17:01] 	 epoch : 042/300 	 Epoch loss:1241.450336 	 Accuracy: 0.1972
[2023/04/04 10:20:49] 	 epoch : 043/300 	 Epoch loss:1236.853127 	 Accuracy: 0.1986
[2023/04/04 10:24:37] 	 epoch : 044/300 	 Epoch loss:1232.957934 	 Accuracy: 0.2007
[2023/04/04 10:28:24] 	 epoch : 045/300 	 Epoch loss:1228.564886 	 Accuracy: 0.2017
[2023/04/04 10:32:12] 	 epoch : 046/300 	 Epoch loss:1224.608185 	 Accuracy: 0.2042
[2023/04/04 10:35:59] 	 epoch : 047/300 	 Epoch loss:1220.866534 	 Accuracy: 0.2061
[2023/04/04 10:39:46] 	 epoch : 048/300 	 Epoch loss:1215.788283 	 Accuracy: 0.2083
[2023/04/04 10:43:34] 	 epoch : 049/300 	 Epoch loss:1212.090470 	 Accuracy: 0.2121
[2023/04/04 10:47:16] 	 epoch : 050/300 	 Epoch loss:1206.550803 	 Accuracy: 0.2138
[2023/04/04 10:47:56] 	 ##### Accuracy on validation set: 0.4335 #####
[2023/04/04 10:47:56] 	 ##### Best accuracy so far: 0.4154  =>  saving model... #####
[2023/04/04 10:51:43] 	 epoch : 051/300 	 Epoch loss:1202.433607 	 Accuracy: 0.2179
[2023/04/04 10:55:30] 	 epoch : 052/300 	 Epoch loss:1199.125645 	 Accuracy: 0.2196
[2023/04/04 10:59:17] 	 epoch : 053/300 	 Epoch loss:1194.038655 	 Accuracy: 0.2227
[2023/04/04 11:03:04] 	 epoch : 054/300 	 Epoch loss:1190.342759 	 Accuracy: 0.2245
[2023/04/04 11:06:50] 	 epoch : 055/300 	 Epoch loss:1184.793484 	 Accuracy: 0.2268
[2023/04/04 11:10:36] 	 epoch : 056/300 	 Epoch loss:1180.951775 	 Accuracy: 0.2285
[2023/04/04 11:14:22] 	 epoch : 057/300 	 Epoch loss:1176.757202 	 Accuracy: 0.2293
[2023/04/04 11:18:09] 	 epoch : 058/300 	 Epoch loss:1172.201782 	 Accuracy: 0.2353
[2023/04/04 11:21:55] 	 epoch : 059/300 	 Epoch loss:1169.482721 	 Accuracy: 0.2361
[2023/04/04 11:25:39] 	 epoch : 060/300 	 Epoch loss:1163.379954 	 Accuracy: 0.2388
[2023/04/04 11:26:13] 	 ##### Accuracy on validation set: 0.4451 #####
[2023/04/04 11:26:13] 	 ##### Best accuracy so far: 0.4335  =>  saving model... #####
[2023/04/04 11:30:01] 	 epoch : 061/300 	 Epoch loss:1159.124456 	 Accuracy: 0.2408
[2023/04/04 11:33:48] 	 epoch : 062/300 	 Epoch loss:1155.778340 	 Accuracy: 0.2437
[2023/04/04 11:37:35] 	 epoch : 063/300 	 Epoch loss:1152.057755 	 Accuracy: 0.2461
[2023/04/04 11:41:23] 	 epoch : 064/300 	 Epoch loss:1147.928722 	 Accuracy: 0.2472
[2023/04/04 11:45:11] 	 epoch : 065/300 	 Epoch loss:1143.620779 	 Accuracy: 0.2478
[2023/04/04 11:48:59] 	 epoch : 066/300 	 Epoch loss:1139.982061 	 Accuracy: 0.2501
[2023/04/04 11:52:47] 	 epoch : 067/300 	 Epoch loss:1135.922518 	 Accuracy: 0.2522
[2023/04/04 11:56:35] 	 epoch : 068/300 	 Epoch loss:1132.365490 	 Accuracy: 0.2546
[2023/04/04 12:00:23] 	 epoch : 069/300 	 Epoch loss:1128.313577 	 Accuracy: 0.2567
